""	"gene"	"gene_coeff"	"taxa"	"taxa_coeff"
"1"	"ADH1B"	"0.00101849211640344"	"Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia"	"0.112867225154499"
"2"	"SYNPO2"	"0.0046131206814414"	"Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae"	"0.133404591365468"
"3"	"FHL1"	"0.0200757863946994"	"Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella"	"0.244894438679111"
"4"	"ADIPOQ"	"0.00190567659904299"	"Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;aerofaciens"	"0.242113694050581"
"5"	"PDK4"	"0.0216530553826302"	"Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Eggerthella;lenta"	"0.217164205333662"
"6"	"AKAP12"	"0.0107391976374159"	"Bacteria;Bacteroidetes"	"0.24745785763182"
"7"	"DMD"	"0.0119128177168332"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales"	"0.274551951675868"
"8"	"MGP"	"0.0189488491945826"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;[Paraprevotellaceae]"	"-0.0879110941172104"
"9"	"SFRP4"	"0.0160320812613126"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae"	"0.274506836611376"
"10"	"ATP1A2"	"0.0180487765748217"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides"	"0.280516835330427"
"11"	"DPT"	"0.00765865436898183"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;fragilis"	"0.0362161646669029"
"12"	"LMOD1"	"0.0146642151902094"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uniformis"	"0.328079183717632"
"13"	"MYL9"	"0.0250233452749716"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae"	"-0.0315151754990904"
"14"	"SVEP1"	"0.00739435599558882"	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella"	"-0.0263923516478108"
"15"	"CASQ2"	"0.00278294526811953"	"Bacteria;Firmicutes"	"0.00515270264255647"
"16"	"RNF150"	"0.0177131529488734"	"Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae"	"-0.00183135643368595"
"17"	"CES1"	"0.0053285731701887"	"Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae"	"0.0112086421058903"
"18"	"HSPB8"	"0.0182698616387715"	"Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus"	"0.014519491425953"
"19"	"FNDC1"	"0.0136534840277112"	"Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;aureus"	"0.0950795480152129"
"20"	"TAGLN"	"0.0239888982024567"	"Bacteria;Firmicutes;Bacilli;Gemellales"	"-0.00187836853763543"
"21"	"SPOCK1"	"0.00785433496285281"	"Bacteria;Firmicutes;Bacilli;Gemellales;Gemellaceae"	"-0.00197159396144538"
"22"	"CAVIN2"	"0.0154383200382189"	"Bacteria;Firmicutes;Bacilli;Lactobacillales"	"-0.0327251341114398"
"23"	"VGLL3"	"0.00600876355287752"	"Bacteria;Firmicutes;Clostridia"	"0.0631657177802598"
